state,county_name,party,candidatevotes,totalvotes,win_percentage
LOUISIANA,RAPIDES,REPUBLICAN,38347,58865,0.6514397349868343
LOUISIANA,RED RIVER,REPUBLICAN,2413,4132,0.5839787028073572
LOUISIANA,RICHLAND,REPUBLICAN,6607,9940,0.6646881287726358
LOUISIANA,SABINE,REPUBLICAN,8776,10596,0.8282370705926765
LOUISIANA,ST. BERNARD,REPUBLICAN,11179,17650,0.633371104815864
LOUISIANA,ST. CHARLES,REPUBLICAN,18233,28517,0.6393730055756216
LOUISIANA,ST. HELENA,DEMOCRAT,3346,6158,0.543358233192595
LOUISIANA,ST. JAMES,DEMOCRAT,6510,12590,0.517077045274027
LOUISIANA,ST. JOHN THE BAPTIST,DEMOCRAT,13582,21432,0.6337252706233669
LOUISIANA,ST. LANDRY,REPUBLICAN,23171,41154,0.5630315400690091
LOUISIANA,ST. MARTIN,REPUBLICAN,18203,27038,0.6732376655078038
LOUISIANA,ST. MARY,REPUBLICAN,14811,23186,0.6387906495298887
LOUISIANA,ST. TAMMANY,REPUBLICAN,99666,140110,0.7113410891442438
LOUISIANA,TANGIPAHOA,REPUBLICAN,37806,57661,0.6556598047206951
LOUISIANA,TENSAS,DEMOCRAT,1329,2554,0.5203602192638997
LOUISIANA,TERREBONNE,REPUBLICAN,34339,46240,0.7426254325259516
LOUISIANA,UNION,REPUBLICAN,8407,11201,0.7505579858941166
LOUISIANA,VERMILION,REPUBLICAN,21930,27324,0.8025911286780852
LOUISIANA,VERNON,REPUBLICAN,14107,17268,0.8169446374797313
LOUISIANA,WASHINGTON,REPUBLICAN,13307,19513,0.6819556193307026
LOUISIANA,WEBSTER,REPUBLICAN,11830,18216,0.6494290733421169
LOUISIANA,WEST BATON ROUGE,REPUBLICAN,7684,14097,0.5450805135844506
LOUISIANA,WEST CARROLL,REPUBLICAN,4317,5052,0.8545130641330166
LOUISIANA,WEST FELICIANA,REPUBLICAN,3863,6268,0.6163050414805361
LOUISIANA,WINN,REPUBLICAN,4619,6225,0.7420080321285141
MAINE,ANDROSCOGGIN,REPUBLICAN,29268,59361,0.4930509930762622
MAINE,AROOSTOOK,REPUBLICAN,21080,36210,0.5821596244131455
MAINE,CUMBERLAND,DEMOCRAT,128759,195914,0.6572220464081179
MAINE,FRANKLIN,REPUBLICAN,8754,17599,0.49741462583101315
MAINE,HANCOCK,DEMOCRAT,19369,35676,0.5429140038120865
MAINE,KENNEBEC,DEMOCRAT,34902,72615,0.4806444949390622
MAINE,KNOX,DEMOCRAT,15110,26032,0.580439459127228
MAINE,LINCOLN,DEMOCRAT,12684,23857,0.5316678542985287
MAINE,OXFORD,REPUBLICAN,17698,33810,0.5234545992309968
MAINE,PENOBSCOT,REPUBLICAN,44825,86133,0.5204161006815042
MAINE,PISCATAQUIS,REPUBLICAN,6143,9996,0.6145458183273309
MAINE,SAGADAHOC,DEMOCRAT,13528,24280,0.557166392092257
MAINE,SOMERSET,REPUBLICAN,16644,27873,0.5971370143149284
MAINE,WALDO,DEMOCRAT,12345,24566,0.502523813400635
MAINE,WASHINGTON,REPUBLICAN,10194,17570,0.5801935116676152
MAINE,YORK,DEMOCRAT,71189,131042,0.5432533080996932
MASSACHUSETTS,BARNSTABLE,DEMOCRAT,91994,151512,0.6071730291990073
MASSACHUSETTS,BERKSHIRE,DEMOCRAT,51705,71771,0.7204163241420629
MASSACHUSETTS,BRISTOL,DEMOCRAT,153377,281364,0.5451194893447634
MASSACHUSETTS,DUKES,DEMOCRAT,9914,12873,0.7701390507263264
MASSACHUSETTS,ESSEX,DEMOCRAT,267198,424599,0.6292949347501996
MASSACHUSETTS,FRANKLIN,DEMOCRAT,30030,43003,0.698323372787945
MASSACHUSETTS,HAMPDEN,DEMOCRAT,125948,220793,0.5704347511017106
MASSACHUSETTS,HAMPSHIRE,DEMOCRAT,63362,88332,0.7173164877960422
MASSACHUSETTS,MIDDLESEX,DEMOCRAT,617196,869347,0.7099535628465964
MASSACHUSETTS,NANTUCKET,DEMOCRAT,5241,7338,0.714227309893704
MASSACHUSETTS,NORFOLK,DEMOCRAT,273312,411042,0.664924752215102
MASSACHUSETTS,PLYMOUTH,DEMOCRAT,173630,303870,0.5713956626188831
MASSACHUSETTS,SUFFOLK,DEMOCRAT,270522,337240,0.8021646305301862
MASSACHUSETTS,WORCESTER,DEMOCRAT,248773,434921,0.571995833726125
MICHIGAN,ALCONA,REPUBLICAN,4848,7064,0.6862967157417894
MICHIGAN,ALGER,REPUBLICAN,3014,5128,0.5877535101404057
MICHIGAN,ALLEGAN,REPUBLICAN,41392,67094,0.6169255074969446
MICHIGAN,ALPENA,REPUBLICAN,10686,16969,0.6297365784666156
MICHIGAN,ANTRIM,REPUBLICAN,9748,15949,0.6111981942441532
MICHIGAN,ARENAC,REPUBLICAN,5928,8831,0.6712716566640244
MICHIGAN,BARAGA,REPUBLICAN,2512,4038,0.6220901436354631
MICHIGAN,BARRY,REPUBLICAN,23471,35905,0.6536972566494917
MICHIGAN,BAY,REPUBLICAN,33125,60255,0.54974690897021
MICHIGAN,BENZIE,REPUBLICAN,6601,12262,0.538329799380199
